,iteration,smart_agent,strategy,agent,money
178,14,retail,Dumber,Wholesale,1470.7920407413335
179,14,retail,Dumber,Regional Warehouse,5683.05043422016
180,14,retail,Dumber,Factory,3160.560749800787
181,15,retail,Smart,Retail,6154.625359762349
182,15,retail,Smart,Wholesale,9780.441827207655
183,15,retail,Smart,Regional Warehouse,6149.421629885704
184,15,retail,Smart,Factory,6154.625359762349
185,15,retail,Dumb,Retail,3358.99536115317
186,15,retail,Dumb,Wholesale,3937.446520476532
187,15,retail,Dumb,Regional Warehouse,1799.5600121819643
188,15,retail,Dumb,Factory,3358.99536115317
189,15,retail,Dumber,Retail,1366.7868150001023
190,15,retail,Dumber,Wholesale,4213.164374580938
191,15,retail,Dumber,Regional Warehouse,1902.964951355576
192,15,retail,Dumber,Factory,1366.7868150001023
193,16,retail,Smart,Retail,2404.1014537462815
194,16,retail,Smart,Wholesale,2960.5563526029478
195,16,retail,Smart,Regional Warehouse,6097.431878031907
196,16,retail,Smart,Factory,2404.1014537462815
197,16,retail,Dumb,Retail,23.143378746511246
198,16,retail,Dumb,Wholesale,-6872.631621407204
199,16,retail,Dumb,Regional Warehouse,-4892.153701493711
200,16,retail,Dumb,Factory,23.143378746511246
201,16,retail,Dumber,Retail,-7509.690458504259
202,16,retail,Dumber,Wholesale,-6675.402144998116
203,16,retail,Dumber,Regional Warehouse,-4709.421301150087
204,16,retail,Dumber,Factory,-7509.690458504259
205,17,retail,Smart,Retail,4162.227948060362
206,17,retail,Smart,Wholesale,600.1005143531812
207,17,retail,Smart,Regional Warehouse,5071.421601154592
208,17,retail,Smart,Factory,4162.227948060362
209,17,retail,Dumb,Retail,1444.5989396495224
210,17,retail,Dumb,Wholesale,-7294.344392155635
211,17,retail,Dumb,Regional Warehouse,-4981.440004743575
212,17,retail,Dumb,Factory,1444.5989396495224
213,17,retail,Dumber,Retail,-5080.943116793997
214,17,retail,Dumber,Wholesale,-7154.599783743988
215,17,retail,Dumber,Regional Warehouse,-4802.854698917195
216,17,retail,Dumber,Factory,-5080.943116793997
217,18,retail,Smart,Retail,-23.015718067984174
218,18,retail,Smart,Wholesale,1.6947823377952993
219,18,retail,Smart,Regional Warehouse,200.09713331594463
220,18,retail,Smart,Factory,-23.015718067984174
221,18,retail,Dumb,Retail,-404.4213875051174
222,18,retail,Dumb,Wholesale,-2307.654946687694
223,18,retail,Dumb,Regional Warehouse,-2219.3560112012224
224,18,retail,Dumb,Factory,-404.4213875051174
225,18,retail,Dumber,Retail,-2318.570121707426
226,18,retail,Dumber,Wholesale,-2241.4337735081012
227,18,retail,Dumber,Regional Warehouse,-2198.600522455391
228,18,retail,Dumber,Factory,-2318.570121707426
229,19,retail,Smart,Retail,3940.081021235387
230,19,retail,Smart,Wholesale,13298.487485217152
231,19,retail,Smart,Regional Warehouse,19015.48661807907
232,19,retail,Smart,Factory,3940.081021235387
233,19,retail,Dumb,Retail,2140.0193626195014
234,19,retail,Dumb,Wholesale,7429.005535781813
235,19,retail,Dumb,Regional Warehouse,11951.881996307842
236,19,retail,Dumb,Factory,2140.0193626195014
237,19,retail,Dumber,Retail,1911.329583432429
238,19,retail,Dumber,Wholesale,7809.484089280282
239,19,retail,Dumber,Regional Warehouse,12318.583257257416
240,19,retail,Dumber,Factory,1911.329583432429
241,20,retail,Smart,Retail,3206.3353586002295
242,20,retail,Smart,Wholesale,3277.286150469554
243,20,retail,Smart,Regional Warehouse,9758.169951917209
244,20,retail,Smart,Factory,3206.3353586002295
245,20,retail,Dumb,Retail,1378.4912996419948
246,20,retail,Dumb,Wholesale,1337.782273930598
247,20,retail,Dumb,Regional Warehouse,5005.242780195843
248,20,retail,Dumb,Factory,1378.4912996419948
249,20,retail,Dumber,Retail,558.5810701332114
250,20,retail,Dumber,Wholesale,1442.8031834953495
251,20,retail,Dumber,Regional Warehouse,5216.169902930554
252,20,retail,Dumber,Factory,558.5810701332114
253,21,retail,Smart,Retail,5130.933150813637
254,21,retail,Smart,Wholesale,3565.7983489976023
255,21,retail,Smart,Regional Warehouse,7473.213958719139
256,21,retail,Smart,Factory,5130.933150813637
257,21,retail,Dumb,Retail,1925.1586889676096
258,21,retail,Dumb,Wholesale,-2262.138358428741
259,21,retail,Dumb,Regional Warehouse,309.7814289813256
260,21,retail,Dumb,Factory,1925.1586889676096
261,21,retail,Dumber,Retail,-1562.482157697595
262,21,retail,Dumber,Wholesale,-2077.5548097982078
263,21,retail,Dumber,Regional Warehouse,498.24915241920735
264,21,retail,Dumber,Factory,-1562.482157697595
265,22,retail,Smart,Retail,13649.83893722872
266,22,retail,Smart,Wholesale,5309.210164845461
267,22,retail,Smart,Regional Warehouse,14000.880271851747
268,22,retail,Smart,Factory,13649.83893722872
269,22,retail,Dumb,Retail,7406.550381606847
270,22,retail,Dumb,Wholesale,-1815.6846713992275
271,22,retail,Dumb,Regional Warehouse,3411.3202150696625
272,22,retail,Dumb,Factory,7406.550381606847
273,22,retail,Dumber,Retail,2796.327265881193
274,22,retail,Dumber,Wholesale,-1613.4791901575977
275,22,retail,Dumber,Regional Warehouse,3713.8618746208012
276,22,retail,Dumber,Factory,2796.327265881193
277,23,retail,Smart,Retail,256.47400926810303
278,23,retail,Smart,Wholesale,734.4936284116196
279,23,retail,Smart,Regional Warehouse,2261.606414030654
280,23,retail,Smart,Factory,256.47400926810303
281,23,retail,Dumb,Retail,-820.4382543569587
282,23,retail,Dumb,Wholesale,-5321.432104086116
283,23,retail,Dumb,Regional Warehouse,-4666.196566412938
284,23,retail,Dumb,Factory,-820.4382543569587
285,23,retail,Dumber,Retail,-5969.70700127574
286,23,retail,Dumber,Wholesale,-5210.269393498383
287,23,retail,Dumber,Regional Warehouse,-4570.573399286595
288,23,retail,Dumber,Factory,-5969.70700127574
289,24,retail,Smart,Retail,6913.166629851632
290,24,retail,Smart,Wholesale,2440.72419413551
291,24,retail,Smart,Regional Warehouse,5265.3987436834705
292,24,retail,Smart,Factory,6913.166629851632
293,24,retail,Dumb,Retail,3080.609288717026
294,24,retail,Dumb,Wholesale,-4606.80481889741
295,24,retail,Dumb,Regional Warehouse,-3041.5071638515506
296,24,retail,Dumb,Factory,3080.609288717026
297,24,retail,Dumber,Retail,-2368.6045530409892
298,24,retail,Dumber,Wholesale,-4459.728579024944
299,24,retail,Dumber,Regional Warehouse,-2913.1858387077655
300,24,retail,Dumber,Factory,-2368.6045530409892
301,25,retail,Smart,Retail,-245.7828611645127
302,25,retail,Smart,Wholesale,-486.44378630286917
303,25,retail,Smart,Regional Warehouse,-62.9926753841257
304,25,retail,Smart,Factory,-245.7828611645127
305,25,retail,Dumb,Retail,-998.2007837342416
306,25,retail,Dumb,Wholesale,-5624.818929849883
307,25,retail,Dumb,Regional Warehouse,-5570.193729974991
308,25,retail,Dumb,Factory,-998.2007837342416
309,25,retail,Dumber,Retail,-5595.013037334628
310,25,retail,Dumber,Wholesale,-5541.220971921989
311,25,retail,Dumber,Regional Warehouse,-5529.177112039892
312,25,retail,Dumber,Factory,-5595.013037334628
313,26,retail,Smart,Retail,8919.513074980647
314,26,retail,Smart,Wholesale,14029.653951347724
315,26,retail,Smart,Regional Warehouse,9418.896358270353
316,26,retail,Smart,Factory,8919.513074980647
317,26,retail,Dumb,Retail,3605.4815500880095
318,26,retail,Dumb,Wholesale,1928.6190390618608
319,26,retail,Dumb,Regional Warehouse,-1045.915651337271
320,26,retail,Dumb,Factory,3605.4815500880095
321,26,retail,Dumber,Retail,-1415.560842741003
322,26,retail,Dumber,Wholesale,2400.3266762856674
323,26,retail,Dumber,Regional Warehouse,-779.7490525921438
324,26,retail,Dumber,Factory,-1415.560842741003
325,27,retail,Smart,Retail,1997.4275483913345
326,27,retail,Smart,Wholesale,2709.9102394331303
327,27,retail,Smart,Regional Warehouse,577.6129420139531
328,27,retail,Smart,Factory,1997.4275483913345
329,27,retail,Dumb,Retail,154.32689848710618
330,27,retail,Dumb,Wholesale,-4199.045806995665
331,27,retail,Dumb,Regional Warehouse,-5645.799093007234
332,27,retail,Dumb,Factory,154.32689848710618
333,27,retail,Dumber,Retail,-5000.990640020454
334,27,retail,Dumber,Wholesale,-4038.313673254771
335,27,retail,Dumber,Regional Warehouse,-5598.245934830255
336,27,retail,Dumber,Factory,-5000.990640020454
337,28,retail,Smart,Retail,5337.34911307798
338,28,retail,Smart,Wholesale,1802.7024017113338
339,28,retail,Smart,Regional Warehouse,6882.142573001997
340,28,retail,Smart,Factory,5337.34911307798
341,28,retail,Dumb,Retail,1726.489563928546
342,28,retail,Dumb,Wholesale,-7124.329523584565
343,28,retail,Dumb,Regional Warehouse,-5309.898060344398
344,28,retail,Dumb,Factory,1726.489563928546
345,28,retail,Dumber,Retail,-5745.976291153958
346,28,retail,Dumber,Wholesale,-6978.588101766758
347,28,retail,Dumber,Regional Warehouse,-5079.458709691289
348,28,retail,Dumber,Factory,-5745.976291153958
349,29,retail,Smart,Retail,247.41264975358683
350,29,retail,Smart,Wholesale,1330.3176876858781
351,29,retail,Smart,Regional Warehouse,2408.973256083553
352,29,retail,Smart,Factory,247.41264975358683
353,29,retail,Dumb,Retail,-344.0433117859163
354,29,retail,Dumb,Wholesale,-2081.9469444225256
355,29,retail,Dumb,Regional Warehouse,-1579.2061191294847
356,29,retail,Dumb,Factory,-344.0433117859163
357,29,retail,Dumber,Retail,-2855.9375470477685
358,29,retail,Dumber,Wholesale,-1983.5129636831061
359,29,retail,Dumber,Regional Warehouse,-1501.97752782751
360,29,retail,Dumber,Factory,-2855.9375470477685
361,30,retail,Smart,Retail,641.9111807973443
362,30,retail,Smart,Wholesale,-173.50368770702846
363,30,retail,Smart,Regional Warehouse,566.1207749001546
364,30,retail,Smart,Factory,641.9111807973443
365,30,retail,Dumb,Retail,-637.5646046492212
366,30,retail,Dumb,Wholesale,-6021.437629373912
367,30,retail,Dumb,Regional Warehouse,-5826.996640870294
