,agent,iterations,total_money,current_payout
117,Retail,300000,3639.5972602739644,3639.5972602739644
118,Wholesale,300000,5279.643835616452,5279.643835616452
119,Regional Warehouse,300000,5196.575342465755,5196.575342465755
120,Factory,300000,4995.356164383562,4995.356164383562
121,Retail,310000,4282.161643835614,4282.161643835614
122,Wholesale,310000,6038.369863013703,6038.369863013703
123,Regional Warehouse,310000,5751.986301369861,5752.041095890409
124,Factory,310000,5703.301369863015,5703.301369863015
125,Retail,320000,3944.2315068493135,3944.2315068493135
126,Wholesale,320000,3380.60273972604,3381.3698630137114
127,Regional Warehouse,320000,5746.602739726028,5746.602739726028
128,Factory,320000,5640.342465753416,5640.342465753416
129,Retail,330000,3789.1041095890314,3789.1041095890314
130,Wholesale,330000,5586.479452054794,5586.479452054794
131,Regional Warehouse,330000,5232.945205479454,5232.945205479454
132,Factory,330000,5234.794520547943,5234.794520547943
133,Retail,340000,4888.145205479435,4888.145205479435
134,Wholesale,340000,6650.520547945205,6650.520547945205
135,Regional Warehouse,340000,5933.972602739697,5934.19178082189
136,Factory,340000,6279.7808219178005,6279.7808219178005
137,Retail,350000,4914.831506849306,4914.831506849306
138,Wholesale,350000,6600.000000000009,6600.027397260283
139,Regional Warehouse,350000,6495.945205479454,6495.945205479454
140,Factory,350000,6331.41095890411,6331.41095890411
141,Retail,360000,4079.63424657534,4079.63424657534
142,Wholesale,360000,4427.027397260263,4427.520547945194
143,Regional Warehouse,360000,5801.780821917811,5801.780821917811
144,Factory,360000,5642.698630136982,5642.698630136982
145,Retail,370000,3740.134246575342,3740.134246575342
146,Wholesale,370000,5353.191780821911,5353.191780821911
147,Regional Warehouse,370000,5251.260273972576,5251.260273972576
148,Factory,370000,4604.575342465703,4604.794520547895
149,Retail,380000,3241.0013698630078,3241.0013698630078
150,Wholesale,380000,3549.054794520543,3549.5753424657487
151,Regional Warehouse,380000,3601.5205479452006,3602.0136986301322
152,Factory,380000,4879.342465753433,4879.342465753433
153,Retail,390000,4411.343835616433,4411.343835616433
154,Wholesale,390000,6083.452054794521,6083.452054794521
155,Regional Warehouse,390000,4663.5479452054715,4664.041095890403
156,Factory,390000,5982.328767123279,5982.328767123279
157,Retail,400000,5482.561643835632,5482.561643835632
158,Wholesale,400000,7288.342465753425,7288.342465753425
159,Regional Warehouse,400000,6845.095890410982,6845.232876712352
160,Factory,400000,7059.72602739726,7059.72602739726
