,iteracion,agente,estrategia,desempeño
829,25,Mayoreo,Solo otro agente aprendió,0.42472671174310744
830,25,Mayoreo,Solo este agente aprendió,0.5580380449252865
831,25,Mayoreo,Todos aprendieron,0.9908205976411282
836,26,Fábrica,Nadie aprendió,0.0
837,26,Fábrica,Solo otro agente aprendió,1.5041560660083018
838,26,Fábrica,Solo este agente aprendió,0.9601074325264809
839,26,Fábrica,Todos aprendieron,2.5483451749363173
844,26,Almacén Regional,Nadie aprendió,0.0
845,26,Almacén Regional,Solo otro agente aprendió,-3.7474735873725655
846,26,Almacén Regional,Solo este agente aprendió,4.284557099617254
852,26,Menudeo,Nadie aprendió,0.0
853,26,Menudeo,Solo otro agente aprendió,1.175163548342702
854,26,Menudeo,Solo este agente aprendió,1.2890999501920808
855,26,Menudeo,Todos aprendieron,2.5483451749363173
860,26,Mayoreo,Nadie aprendió,0.0
861,26,Mayoreo,Solo otro agente aprendió,0.49324319315312504
862,26,Mayoreo,Solo este agente aprendió,0.3968094470408907
863,26,Mayoreo,Todos aprendieron,3.5870739068966913
868,27,Fábrica,Nadie aprendió,0.0
869,27,Fábrica,Solo otro agente aprendió,1.11205028370095
870,27,Fábrica,Solo este agente aprendió,0.9806404064536008
871,27,Fábrica,Todos aprendieron,1.644890019516849
876,27,Almacén Regional,Nadie aprendió,0.0
877,27,Almacén Regional,Solo otro agente aprendió,0.46972317105901507
878,27,Almacén Regional,Solo este agente aprendió,-1.6260270476908711
884,27,Menudeo,Nadie aprendió,0.0
885,27,Menudeo,Solo otro agente aprendió,1.0837794062107637
886,27,Menudeo,Solo este agente aprendió,1.0089112839437873
887,27,Menudeo,Todos aprendieron,1.644890019516849
892,27,Mayoreo,Nadie aprendió,0.0
893,27,Mayoreo,Solo otro agente aprendió,-0.6857334595889194
894,27,Mayoreo,Solo este agente aprendió,1.5897270262149947
895,27,Mayoreo,Todos aprendieron,3.3055384834720716
900,28,Fábrica,Nadie aprendió,0.0
901,28,Fábrica,Solo otro agente aprendió,1.0770772235792723
902,28,Fábrica,Solo este agente aprendió,1.1866933925297771
903,28,Fábrica,Todos aprendieron,1.8762275807055255
908,28,Almacén Regional,Nadie aprendió,0.0
909,28,Almacén Regional,Solo otro agente aprendió,0.11086981522391705
910,28,Almacén Regional,Solo este agente aprendió,0.8475326833870049
911,28,Almacén Regional,Todos aprendieron,2.309752014126244
916,28,Menudeo,Nadie aprendió,0.0
917,28,Menudeo,Solo otro agente aprendió,1.176217164661873
918,28,Menudeo,Solo este agente aprendió,1.0875534514471763
919,28,Menudeo,Todos aprendieron,1.8762275807055255
924,28,Mayoreo,Nadie aprendió,0.0
925,28,Mayoreo,Solo otro agente aprendió,0.3423307749417467
926,28,Mayoreo,Solo este agente aprendió,0.6042727663128211
927,28,Mayoreo,Todos aprendieron,2.109913261122966
932,29,Fábrica,Nadie aprendió,0.0
933,29,Fábrica,Solo otro agente aprendió,0.9337103430948035
934,29,Fábrica,Solo este agente aprendió,1.198819350154242
935,29,Fábrica,Todos aprendieron,1.6746296116358033
940,29,Almacén Regional,Nadie aprendió,0.0
941,29,Almacén Regional,Solo otro agente aprendió,-0.1602368650361028
942,29,Almacén Regional,Solo este agente aprendió,1.0767171553570916
943,29,Almacén Regional,Todos aprendieron,3.9540207812088344
948,29,Menudeo,Nadie aprendió,0.0
949,29,Menudeo,Solo otro agente aprendió,1.149940938138109
950,29,Menudeo,Solo este agente aprendió,0.9825887551109365
951,29,Menudeo,Todos aprendieron,1.6746296116358033
956,29,Mayoreo,Nadie aprendió,0.0
957,29,Mayoreo,Solo otro agente aprendió,0.4116261729509394
958,29,Mayoreo,Solo este agente aprendió,0.5572254367693888
959,29,Mayoreo,Todos aprendieron,1.4323801698151846
964,30,Fábrica,Nadie aprendió,0.0
965,30,Fábrica,Solo otro agente aprendió,0.9729880357561095
