,agent,day,inventory,purchase,r_s_a,q_s_a
315,Regional_Warehouse,79,0.0,12,-84.0,-84.0
316,Factory,79,0.0,98,-148.0,-148.0
317,Retail,80,0.0,39,-11.100000000000023,-11.100000000000023
318,Wholesale,80,0.0,51,-48.0,-48.0
319,Regional_Warehouse,80,0.0,9,-90.0,-90.0
320,Factory,80,0.0,56,-166.0,-166.0
321,Retail,81,0.0,95,-12.600000000000023,-12.600000000000023
322,Wholesale,81,0.0,9,-44.0,-44.0
323,Regional_Warehouse,81,0.0,81,-162.0,-162.0
324,Factory,81,0.0,32,-188.0,-188.0
325,Retail,82,0.0,62,-14.800000000000011,-14.800000000000011
326,Wholesale,82,0.0,59,-54.0,-54.0
327,Regional_Warehouse,82,0.0,41,-184.0,-184.0
328,Factory,82,0.0,37,-98.0,-98.0
329,Retail,83,0.0,59,-16.30000000000001,-16.30000000000001
330,Wholesale,83,0.0,14,-10.0,-10.0
331,Regional_Warehouse,83,0.0,82,-40.0,-40.0
332,Factory,83,0.0,0,-52.0,-52.0
333,Retail,84,0.0,51,-11.899999999999977,-11.899999999999977
334,Wholesale,84,0.0,7,-162.0,-162.0
335,Regional_Warehouse,84,0.0,64,-2.0,-2.0
336,Factory,84,0.0,95,-132.0,-132.0
337,Retail,85,0.0,44,-10.0,-10.0
338,Wholesale,85,0.0,57,-150.0,-150.0
339,Regional_Warehouse,85,0.0,10,-26.0,-26.0
340,Factory,85,0.0,42,-168.0,-168.0
341,Retail,86,0.0,66,-11.5,-11.5
342,Wholesale,86,0.0,78,-130.0,-130.0
343,Regional_Warehouse,86,0.0,19,-170.0,-170.0
344,Factory,86,0.0,38,-142.0,-142.0
345,Retail,87,0.0,78,-11.100000000000023,-11.100000000000023
346,Wholesale,87,0.0,67,-100.0,-100.0
347,Regional_Warehouse,87,0.0,17,-132.0,-132.0
348,Factory,87,0.0,11,-190.0,-190.0
349,Retail,88,0.0,71,-12.600000000000023,-12.600000000000023
350,Wholesale,88,0.0,7,-132.0,-132.0
351,Regional_Warehouse,88,0.0,49,-82.0,-82.0
352,Factory,88,0.0,68,-158.0,-158.0
353,Retail,89,0.0,11,-14.800000000000011,-14.800000000000011
354,Wholesale,89,0.0,15,-94.0,-94.0
355,Regional_Warehouse,89,0.0,9,-24.0,-24.0
356,Factory,89,0.0,6,-132.0,-132.0
357,Retail,90,0.0,4,-16.30000000000001,-16.30000000000001
358,Wholesale,90,0.0,40,-30.0,-30.0
359,Regional_Warehouse,90,0.0,65,-82.0,-82.0
360,Factory,90,0.0,49,-86.0,-86.0
361,Retail,91,0.0,6,-11.900000000000006,-11.900000000000006
362,Wholesale,91,0.0,54,-72.0,-72.0
363,Regional_Warehouse,91,0.0,84,-116.0,-116.0
364,Factory,91,0.0,76,-88.0,-88.0
365,Retail,92,0.0,55,-10.0,-10.0
366,Wholesale,92,0.0,32,-66.0,-66.0
367,Regional_Warehouse,92,0.0,65,-114.0,-114.0
368,Factory,92,0.0,94,-198.0,-198.0
369,Retail,93,0.0,6,-11.5,-11.5
370,Wholesale,93,0.0,90,-20.0,-20.0
371,Regional_Warehouse,93,0.0,87,-152.0,-152.0
372,Factory,93,0.0,60,-12.0,-12.0
373,Retail,94,0.0,9,-11.099999999999994,-11.099999999999994
374,Wholesale,94,0.0,81,-144.0,-144.0
375,Regional_Warehouse,94,0.0,70,-90.0,-90.0
376,Factory,94,0.0,87,-174.0,-174.0
377,Retail,95,0.0,30,-12.599999999999994,-12.599999999999994
378,Wholesale,95,0.0,5,-28.0,-28.0
379,Regional_Warehouse,95,0.0,57,-134.0,-134.0
380,Factory,95,0.0,28,-96.0,-96.0
381,Retail,96,0.0,86,-14.800000000000011,-14.800000000000011
382,Wholesale,96,0.0,12,-88.0,-88.0
