,iteracion,agente,estrategia,desempeño
375,15,Menudeo,Nadie óptima,0.0
376,15,Menudeo,Un agente óptimo,1.00937384489605
377,15,Menudeo,Todos óptima,1.3160601699630683
381,15,Mayoreo,Nadie óptima,0.0
382,15,Mayoreo,Un agente óptimo,0.1436979889550005
383,15,Mayoreo,Todos óptima,4.833262133894193
387,16,Fábrica,Nadie óptima,0.0
388,16,Fábrica,Un agente óptimo,1.2069514482317274
389,16,Fábrica,Todos óptima,1.7049359436888896
393,16,Almacén Regional,Nadie óptima,0.0
394,16,Almacén Regional,Un agente óptimo,0.08591382420421477
395,16,Almacén Regional,Todos óptima,4.218598745282695
399,16,Menudeo,Nadie óptima,0.0
400,16,Menudeo,Un agente óptimo,1.2069514482317274
401,16,Menudeo,Todos óptima,1.7049359436888896
405,16,Mayoreo,Nadie óptima,0.0
406,16,Mayoreo,Un agente óptimo,0.01894619951142698
407,16,Mayoreo,Todos óptima,1.0445933421056182
411,17,Fábrica,Nadie óptima,0.0
412,17,Fábrica,Un agente óptimo,1.0981275212297266
413,17,Fábrica,Todos óptima,1.472389421135961
417,17,Almacén Regional,Nadie óptima,0.0
418,17,Almacén Regional,Un agente óptimo,0.10232286034530409
423,17,Menudeo,Nadie óptima,0.0
424,17,Menudeo,Un agente óptimo,1.0981275212297266
425,17,Menudeo,Todos óptima,1.472389421135961
429,17,Mayoreo,Nadie óptima,0.0
430,17,Mayoreo,Un agente óptimo,0.3163739872827579
435,18,Fábrica,Nadie óptima,0.0
436,18,Fábrica,Un agente óptimo,0.0011074823272970698
437,18,Fábrica,Todos óptima,0.944797999032512
441,18,Almacén Regional,Nadie óptima,0.0
442,18,Almacén Regional,Un agente óptimo,0.035480828093734845
443,18,Almacén Regional,Todos óptima,0.5851810137466267
447,18,Menudeo,Nadie óptima,0.0
448,18,Menudeo,Un agente óptimo,0.0011074823272970698
449,18,Menudeo,Todos óptima,0.944797999032512
453,18,Mayoreo,Nadie óptima,0.0
454,18,Mayoreo,Un agente óptimo,0.04399797699233337
455,18,Mayoreo,Todos óptima,0.6146274332439808
459,19,Fábrica,Nadie óptima,0.0
460,19,Fábrica,Un agente óptimo,0.8438745035518889
461,19,Fábrica,Todos óptima,1.0402891381054806
465,19,Almacén Regional,Nadie óptima,0.0
466,19,Almacén Regional,Un agente óptimo,0.029084763568929715
467,19,Almacén Regional,Todos óptima,1.7798886029012804
471,19,Menudeo,Nadie óptima,0.0
472,19,Menudeo,Un agente óptimo,0.8438745035518889
473,19,Menudeo,Todos óptima,1.0402891381054806
477,19,Mayoreo,Nadie óptima,0.0
478,19,Mayoreo,Un agente óptimo,0.028943520134204623
479,19,Mayoreo,Todos óptima,1.2032373333936808
483,20,Fábrica,Nadie óptima,0.0
484,20,Fábrica,Un agente óptimo,1.957542185424473
485,20,Fábrica,Todos óptima,3.1530139001286
489,20,Almacén Regional,Nadie óptima,0.0
490,20,Almacén Regional,Un agente óptimo,0.0902438012989085
491,20,Almacén Regional,Todos óptima,4.271550406247149
495,20,Menudeo,Nadie óptima,0.0
496,20,Menudeo,Un agente óptimo,1.957542185424473
497,20,Menudeo,Todos óptima,3.1530139001286
501,20,Mayoreo,Nadie óptima,0.0
502,20,Mayoreo,Un agente óptimo,0.13175161727344628
503,20,Mayoreo,Todos óptima,3.795553128446234
507,21,Fábrica,Nadie óptima,0.0
508,21,Fábrica,Un agente óptimo,0.09174914925928643
509,21,Fábrica,Todos óptima,1.0006086219771326
513,21,Almacén Regional,Nadie óptima,0.0
514,21,Almacén Regional,Un agente óptimo,0.038568509707258836
515,21,Almacén Regional,Todos óptima,0.7745770885890103
519,21,Menudeo,Nadie óptima,0.0
520,21,Menudeo,Un agente óptimo,0.09174914925928643
521,21,Menudeo,Todos óptima,1.0006086219771326
525,21,Mayoreo,Nadie óptima,0.0
526,21,Mayoreo,Un agente óptimo,0.09243270815282961
527,21,Mayoreo,Todos óptima,0.9308782607440965
531,22,Fábrica,Nadie óptima,0.0
532,22,Fábrica,Un agente óptimo,1.3827493326316487
533,22,Fábrica,Todos óptima,2.3340137563584906
537,22,Almacén Regional,Nadie óptima,0.0
538,22,Almacén Regional,Un agente óptimo,0.08912530383275054
539,22,Almacén Regional,Todos óptima,2.459708047638449
543,22,Menudeo,Nadie óptima,0.0
544,22,Menudeo,Un agente óptimo,1.3827493326316487
545,22,Menudeo,Todos óptima,2.3340137563584906
549,22,Mayoreo,Nadie óptima,0.0
550,22,Mayoreo,Un agente óptimo,0.33814707435751656
555,23,Fábrica,Nadie óptima,0.0
556,23,Fábrica,Un agente óptimo,1.4305760689791933
557,23,Fábrica,Todos óptima,3.5818066919632767
561,23,Almacén Regional,Nadie óptima,0.0
562,23,Almacén Regional,Un agente óptimo,0.02809753414528976
563,23,Almacén Regional,Todos óptima,1.6986227368216555
567,23,Menudeo,Nadie óptima,0.0
568,23,Menudeo,Un agente óptimo,1.4305760689791933
569,23,Menudeo,Todos óptima,3.5818066919632767
573,23,Mayoreo,Nadie óptima,0.0
574,23,Mayoreo,Un agente óptimo,0.07745403858067502
575,23,Mayoreo,Todos óptima,1.8350105322931527
579,24,Fábrica,Nadie óptima,0.0
585,24,Almacén Regional,Nadie óptima,0.0
586,24,Almacén Regional,Un agente óptimo,0.029535960397326335
587,24,Almacén Regional,Todos óptima,1.8931695509990885
591,24,Menudeo,Nadie óptima,0.0
597,24,Mayoreo,Nadie óptima,0.0
598,24,Mayoreo,Un agente óptimo,0.19734218331423364
603,25,Fábrica,Nadie óptima,0.0
604,25,Fábrica,Un agente óptimo,2.7284276580415994
605,25,Fábrica,Todos óptima,4.810279667664737
609,25,Almacén Regional,Nadie óptima,0.0
610,25,Almacén Regional,Un agente óptimo,0.09299524831468198
611,25,Almacén Regional,Todos óptima,4.051731490423478
615,25,Menudeo,Nadie óptima,0.0
616,25,Menudeo,Un agente óptimo,2.7284276580415994
617,25,Menudeo,Todos óptima,4.810279667664737
621,25,Mayoreo,Nadie óptima,0.0
622,25,Mayoreo,Un agente óptimo,0.17425700597191332
627,26,Fábrica,Nadie óptima,0.0
633,26,Almacén Regional,Nadie óptima,0.0
634,26,Almacén Regional,Un agente óptimo,0.921687096570492
639,26,Menudeo,Nadie óptima,0.0
645,26,Mayoreo,Nadie óptima,0.0
646,26,Mayoreo,Un agente óptimo,0.040561585197831
647,26,Mayoreo,Todos óptima,1.7730247362804175
651,27,Fábrica,Nadie óptima,0.0
652,27,Fábrica,Un agente óptimo,0.03825191918092332
653,27,Fábrica,Todos óptima,0.7558618594812635
657,27,Almacén Regional,Nadie óptima,0.0
658,27,Almacén Regional,Un agente óptimo,0.0081293213852821
