,iteration,strategy,agent,money
193,16,Smart,Retail,3844.709961399413
194,16,Smart,Wholesale,1721.9680234635089
195,16,Smart,Regional Warehouse,578.0574893563733
196,16,Smart,Factory,3844.709961399413
197,16,Dumb,Retail,1201.3168547125479
198,16,Dumb,Wholesale,-4408.231664460108
199,16,Dumb,Regional Warehouse,-5588.07531505999
200,16,Dumb,Factory,1201.3168547125479
201,16,Dumber,Retail,-3450.772743608878
202,16,Dumber,Wholesale,-4270.069699296196
203,16,Dumber,Regional Warehouse,-5530.676087069574
204,16,Dumber,Factory,-3450.772743608878
205,17,Smart,Retail,3844.709961399413
206,17,Smart,Wholesale,1721.9680234635089
207,17,Smart,Regional Warehouse,578.0574893563733
208,17,Smart,Factory,3844.709961399413
209,17,Dumb,Retail,1201.3168547125479
210,17,Dumb,Wholesale,-4408.231664460108
211,17,Dumb,Regional Warehouse,-5588.07531505999
212,17,Dumb,Factory,1201.3168547125479
213,17,Dumber,Retail,-3450.772743608878
214,17,Dumber,Wholesale,-4270.069699296196
215,17,Dumber,Regional Warehouse,-5530.676087069574
216,17,Dumber,Factory,-3450.772743608878
217,18,Smart,Retail,3844.709961399413
218,18,Smart,Wholesale,1721.9680234635089
219,18,Smart,Regional Warehouse,578.0574893563733
220,18,Smart,Factory,3844.709961399413
221,18,Dumb,Retail,1201.3168547125479
222,18,Dumb,Wholesale,-4408.231664460108
223,18,Dumb,Regional Warehouse,-5588.07531505999
224,18,Dumb,Factory,1201.3168547125479
225,18,Dumber,Retail,-3450.772743608878
226,18,Dumber,Wholesale,-4270.069699296196
227,18,Dumber,Regional Warehouse,-5530.676087069574
228,18,Dumber,Factory,-3450.772743608878
229,19,Smart,Retail,3844.709961399413
230,19,Smart,Wholesale,1721.9680234635089
231,19,Smart,Regional Warehouse,578.0574893563733
232,19,Smart,Factory,3844.709961399413
233,19,Dumb,Retail,1201.3168547125479
234,19,Dumb,Wholesale,-4408.231664460108
235,19,Dumb,Regional Warehouse,-5588.07531505999
236,19,Dumb,Factory,1201.3168547125479
237,19,Dumber,Retail,-3450.772743608878
238,19,Dumber,Wholesale,-4270.069699296196
239,19,Dumber,Regional Warehouse,-5530.676087069574
240,19,Dumber,Factory,-3450.772743608878
241,20,Smart,Retail,3844.709961399413
242,20,Smart,Wholesale,1721.9680234635089
243,20,Smart,Regional Warehouse,578.0574893563733
244,20,Smart,Factory,3844.709961399413
245,20,Dumb,Retail,1201.3168547125479
246,20,Dumb,Wholesale,-4408.231664460108
247,20,Dumb,Regional Warehouse,-5588.07531505999
248,20,Dumb,Factory,1201.3168547125479
249,20,Dumber,Retail,-3450.772743608878
250,20,Dumber,Wholesale,-4270.069699296196
251,20,Dumber,Regional Warehouse,-5530.676087069574
252,20,Dumber,Factory,-3450.772743608878
253,21,Smart,Retail,3844.709961399413
254,21,Smart,Wholesale,1721.9680234635089
255,21,Smart,Regional Warehouse,578.0574893563733
256,21,Smart,Factory,3844.709961399413
257,21,Dumb,Retail,1201.3168547125479
258,21,Dumb,Wholesale,-4408.231664460108
259,21,Dumb,Regional Warehouse,-5588.07531505999
260,21,Dumb,Factory,1201.3168547125479
261,21,Dumber,Retail,-3450.772743608878
262,21,Dumber,Wholesale,-4270.069699296196
263,21,Dumber,Regional Warehouse,-5530.676087069574
264,21,Dumber,Factory,-3450.772743608878
265,22,Smart,Retail,3844.709961399413
266,22,Smart,Wholesale,1721.9680234635089
267,22,Smart,Regional Warehouse,578.0574893563733
268,22,Smart,Factory,3844.709961399413
269,22,Dumb,Retail,1201.3168547125479
270,22,Dumb,Wholesale,-4408.231664460108
271,22,Dumb,Regional Warehouse,-5588.07531505999
272,22,Dumb,Factory,1201.3168547125479
273,22,Dumber,Retail,-3450.772743608878
274,22,Dumber,Wholesale,-4270.069699296196
275,22,Dumber,Regional Warehouse,-5530.676087069574
276,22,Dumber,Factory,-3450.772743608878
277,23,Smart,Retail,3844.709961399413
278,23,Smart,Wholesale,1721.9680234635089
279,23,Smart,Regional Warehouse,578.0574893563733
280,23,Smart,Factory,3844.709961399413
281,23,Dumb,Retail,1201.3168547125479
282,23,Dumb,Wholesale,-4408.231664460108
283,23,Dumb,Regional Warehouse,-5588.07531505999
284,23,Dumb,Factory,1201.3168547125479
285,23,Dumber,Retail,-3450.772743608878
286,23,Dumber,Wholesale,-4270.069699296196
287,23,Dumber,Regional Warehouse,-5530.676087069574
288,23,Dumber,Factory,-3450.772743608878
289,24,Smart,Retail,3844.709961399413
290,24,Smart,Wholesale,1721.9680234635089
291,24,Smart,Regional Warehouse,578.0574893563733
292,24,Smart,Factory,3844.709961399413
293,24,Dumb,Retail,1201.3168547125479
294,24,Dumb,Wholesale,-4408.231664460108
295,24,Dumb,Regional Warehouse,-5588.07531505999
296,24,Dumb,Factory,1201.3168547125479
297,24,Dumber,Retail,-3450.772743608878
298,24,Dumber,Wholesale,-4270.069699296196
299,24,Dumber,Regional Warehouse,-5530.676087069574
300,24,Dumber,Factory,-3450.772743608878
301,25,Smart,Retail,3844.709961399413
302,25,Smart,Wholesale,1721.9680234635089
303,25,Smart,Regional Warehouse,578.0574893563733
304,25,Smart,Factory,3844.709961399413
305,25,Dumb,Retail,1201.3168547125479
306,25,Dumb,Wholesale,-4408.231664460108
307,25,Dumb,Regional Warehouse,-5588.07531505999
308,25,Dumb,Factory,1201.3168547125479
309,25,Dumber,Retail,-3450.772743608878
310,25,Dumber,Wholesale,-4270.069699296196
311,25,Dumber,Regional Warehouse,-5530.676087069574
312,25,Dumber,Factory,-3450.772743608878
313,26,Smart,Retail,3844.709961399413
314,26,Smart,Wholesale,1721.9680234635089
315,26,Smart,Regional Warehouse,578.0574893563733
316,26,Smart,Factory,3844.709961399413
317,26,Dumb,Retail,1201.3168547125479
318,26,Dumb,Wholesale,-4408.231664460108
319,26,Dumb,Regional Warehouse,-5588.07531505999
320,26,Dumb,Factory,1201.3168547125479
321,26,Dumber,Retail,-3450.772743608878
322,26,Dumber,Wholesale,-4270.069699296196
323,26,Dumber,Regional Warehouse,-5530.676087069574
324,26,Dumber,Factory,-3450.772743608878
325,27,Smart,Retail,3844.709961399413
326,27,Smart,Wholesale,1721.9680234635089
327,27,Smart,Regional Warehouse,578.0574893563733
328,27,Smart,Factory,3844.709961399413
329,27,Dumb,Retail,1201.3168547125479
330,27,Dumb,Wholesale,-4408.231664460108
331,27,Dumb,Regional Warehouse,-5588.07531505999
332,27,Dumb,Factory,1201.3168547125479
333,27,Dumber,Retail,-3450.772743608878
334,27,Dumber,Wholesale,-4270.069699296196
335,27,Dumber,Regional Warehouse,-5530.676087069574
336,27,Dumber,Factory,-3450.772743608878
337,28,Smart,Retail,3844.709961399413
338,28,Smart,Wholesale,1721.9680234635089
339,28,Smart,Regional Warehouse,578.0574893563733
340,28,Smart,Factory,3844.709961399413
341,28,Dumb,Retail,1201.3168547125479
342,28,Dumb,Wholesale,-4408.231664460108
343,28,Dumb,Regional Warehouse,-5588.07531505999
344,28,Dumb,Factory,1201.3168547125479
345,28,Dumber,Retail,-3450.772743608878
346,28,Dumber,Wholesale,-4270.069699296196
347,28,Dumber,Regional Warehouse,-5530.676087069574
